  workdir /var/folders/hb/ngsyjpbs2gv757_fvmlwljxr0000gn/T/peekaa-db-tests-vlO5qd  ·  port 62541
  applied  v577  20260828_nestly_v577_publish_preserves_tier_identity.sql
  applied  v579  20260828_nestly_v579_inbox_backfill_promotion_ref.sql
  applied  v580  20260828_nestly_v580_appointment_send_follows_the_appointment.sql
  applied  v581  20260828_nestly_v581_appointment_branch_address.sql
  applied  v581  20260828_nestly_v581_short_notice_and_reschedule.sql
  applied  v582  20260828_nestly_v582_whatsapp_feeds_recovery_attribution.sql
  applied  v583  20260828_nestly_v583_owner_automation_toggles.sql
  applied  v586  20260829_nestly_v586_tier_basis_reaches_the_draft.sql
  applied  v587  20260829_nestly_v587_join_qr_names_its_business.sql
  applied  v588  20260829_nestly_v588_staff_signup_flow_integrity.sql
  applied  v589  20260829_nestly_v589_referral_switch_is_one_switch.sql
  applied  v590  20260828_nestly_v590_cron_run_history_retention_fn.sql
  applied  v590  20260828_nestly_v590_cron_run_history_retention.sql
  applied  v592  20260828_nestly_v592_support_tick_dispatcher.sql
  applied  v593  20260829_nestly_v593_package_expiry.sql
  applied  v598  20260829_nestly_v598_shop_hours_are_the_default.sql
  applied  v599  20260829_nestly_v599_browser_write_boundaries.sql
  applied  v600  20260829_nestly_v600_register_v361_bringback_cron.sql
  applied  v601  20260829_nestly_v601_package_edit_retire_and_switch.sql
  applied  v601  20260829_nestly_v601_pause_featureless_cron.sql
  applied  v602  20260829_nestly_v602_same_business_references.sql
  applied  v603  20260829_nestly_v603_one_relationship_per_pair.sql
  applied  v603  20260829_nestly_v603_package_history_and_dates.sql
  applied  v611  20260829_nestly_v611_guard_honours_shop_hours_default.sql
  applied  v612  20260830_nestly_v612_referral_immediate_when_no_floor.sql
  applied  v613  20260830_nestly_v613_bespoke_customer_package.sql
  applied  v620  20260830_nestly_v620_entitlement_authority.sql
  applied  v621  20260830_nestly_v621_branch_payment_truth.sql
  applied  v622  20260830_nestly_v622_sa_writes_become_rpcs.sql
  applied  v623  20260830_nestly_v623_pii_read_audit.sql
  applied  v624  20260830_nestly_v624_billing_ops_visibility.sql
  applied  v625  20260830_nestly_v625_platform_google_only.sql
  applied  v626  20260830_nestly_v626_automation_writers_sa_only.sql
  applied  v627  20260830_nestly_v627_package_product_branches_and_request_amend.sql
  applied  v628  20260830_nestly_v628_analytics_exclusions_watermarks.sql
  applied  v629  20260830_nestly_v629_customer_lifetime_spend.sql
  applied  v629  20260830_nestly_v629_first_acquisition.sql
  applied  v630  20260830_nestly_v630_behaviour_time_and_direct_links.sql
  applied  v631  20260830_nestly_v631_appointment_lifecycle_events.sql
  applied  v632  20260830_nestly_v632_inbox_mark_all_read.sql
  applied  v632  20260830_nestly_v632_rebooking_link.sql
  applied  v633  20260830_nestly_v633_tier_transition_history.sql
  applied  v634  20260830_nestly_v634_reconcile_failure_visibility.sql
  applied  v634  20260830_nestly_v634_sale_items_all_paths.sql
  applied  v635  20260830_nestly_v635_attribution_associations.sql
  applied  v636  20260830_nestly_v636_services_delete_owner_only.sql
  applied  v637  20260830_nestly_v637_public_funnel_counters.sql
  applied  v638  20260830_nestly_v638_demographics_authority.sql
  applied  v639  20260830_nestly_v639_appointment_status_backfill_keys.sql
  applied  v640  20260830_nestly_v640_funnel_hit_resolvers.sql
  applied  v641  20260830_nestly_v641_inbox_mark_all_read_through_the_guard.sql
  applied  v644  20260831_nestly_v644_can_contact_authority.sql
  applied  v645  20260831_nestly_v645_messaging_retention.sql
  applied  v646  20260831_nestly_v646_engagement_rollups.sql
  applied  v647  20260831_nestly_v647_canonical_taxonomy.sql
  applied  v648  20260831_nestly_v648_service_canonical_map.sql
  applied  v649  20260831_nestly_v649_category_snapshot_at_sale.sql
  applied  v650  20260831_nestly_v650_ci_read_layer.sql
  applied  v651  20260831_nestly_v651_canonical_cadence.sql
  applied  v652  20260831_nestly_v652_evidence_contract.sql
  applied  v654  20260831_nestly_v654_receipt_identity_and_perk_date.sql
  applied  v655  20260831_nestly_v655_cancel_and_package_edit.sql
  applied  v656  20260831_nestly_v656_tier_discount_scope.sql
  applied  v657  20260831_nestly_v657_discount_two_shapes.sql
  applied  v659  20260831_nestly_v659_edit_means_edit.sql
  applied  v660  20260831_nestly_v660_owner_rulings.sql
  applied  v661  20260831_nestly_v661_receipt_ocr_claim_lease.sql
  applied  v663  20260831_nestly_v663_customer_appointment_changes.sql
  applied  v664  20260831_nestly_v664_capacity_tiers_and_manual_payment.sql
  applied  v665  20260831_nestly_v665_gift_staging_and_reversal.sql
  applied  v665  20260901_nestly_v665_branch_subscription_choice.sql
  applied  v666  20260901_nestly_v666_add_branch_tier_capacity.sql
  applied  v666  20260901_nestly_v666_gift_scan_opens_the_sale.sql
  applied  v667  20260901_nestly_v667_ci_access_boundaries.sql
  applied  v668  20260901_nestly_v668_complete_v523_entitlement.sql
  applied  v669  20260901_nestly_v669_numeric_honesty.sql
  applied  v672  20260902_nestly_v672_public_support_desk.sql
  applied  v673  20260902_nestly_v673_staff_insert_owner_only.sql
  applied  v674  20260902_nestly_v674_birthday_gift_type_change.sql
  applied  v675  20260902_nestly_v675_stale_stamp_draft_superseded.sql
  applied  v676  20260902_nestly_v676_gift_intent_reopen.sql
  applied  v677  20260902_nestly_v677_reversal_is_not_a_visit.sql
  applied  v678  20260902_nestly_v678_auto_approve_after_choice.sql
  applied  v679  20260902_nestly_v679_tier_edits_survive_publish.sql
  applied  v680  20260902_nestly_v680_manual_payment_reopens_workspace.sql
  applied  v681  20260902_nestly_v681_free_gift_confirm_at_scan.sql
  applied  v682  20260902_nestly_v682_custom_perk_is_not_a_free_gift.sql
  applied  v683  20260902_nestly_v683_referral_new_customers_only.sql
  applied  v684  20260902_nestly_v684_delete_retired_offer.sql
  applied  v685  20260902_nestly_v685_singapore_day_authority.sql
  applied  v686  20260902_nestly_v686_service_delete_owner_only_rpc.sql
  applied  v687  20260902_nestly_v687_staff_self_profile.sql
  applied  v688  20260902_nestly_v688_support_mark_read.sql

── MIGRATED (against peekaa_migrated) ──────────────────────
  FAIL  v510_operating_system_crm_foundation.sql
        psql:/private/tmp/claude-501/-Users-cs-Downloads-loyalty-main/b2eb2901-2f29-4ab9-8d07-185769b6d407/scratchpad/wt-main-baseline/db/tests/executed/v510_operating_system_crm_foundation.sql:548: ERROR:  FAIL unrelated partial payment unlocked the contractual entitlement
        CONTEXT:  PL/pgSQL function inline_code_block line 424 at RAISE
  ok    v511_work_operating_system.sql  (864ms)
  FAIL  v512_commercial_handoff_integrity.sql
        psql:/private/tmp/claude-501/-Users-cs-Downloads-loyalty-main/b2eb2901-2f29-4ab9-8d07-185769b6d407/scratchpad/wt-main-baseline/db/tests/executed/v512_commercial_handoff_integrity.sql:465: ERROR:  FAIL expected exactly 1 accrual after verified payment, found 0
        CONTEXT:  PL/pgSQL function inline_code_block line 166 at RAISE
  FAIL  v513_onboarding_next_actor_and_review.sql
        psql:/private/tmp/claude-501/-Users-cs-Downloads-loyalty-main/b2eb2901-2f29-4ab9-8d07-185769b6d407/scratchpad/wt-main-baseline/db/tests/executed/v513_onboarding_next_actor_and_review.sql:326: ERROR:  FAIL a 48h-old Peekaa turn did not become a stall work item: {"as_of": "2026-09-02T18:39:05.970886+00:00", "nudged": 1, "stalled": 1}
        CONTEXT:  PL/pgSQL function inline_code_block line 187 at RAISE

── summary ────────────────────────────────────────────
  MIGRATED  v510_operating_system_crm_foundation.sql
    psql:/private/tmp/claude-501/-Users-cs-Downloads-loyalty-main/b2eb2901-2f29-4ab9-8d07-185769b6d407/scratchpad/wt-main-baseline/db/tests/executed/v510_operating_system_crm_foundation.sql:548: ERROR:  FAIL unrelated partial payment unlocked the contractual entitlement
  MIGRATED  v512_commercial_handoff_integrity.sql
    psql:/private/tmp/claude-501/-Users-cs-Downloads-loyalty-main/b2eb2901-2f29-4ab9-8d07-185769b6d407/scratchpad/wt-main-baseline/db/tests/executed/v512_commercial_handoff_integrity.sql:465: ERROR:  FAIL expected exactly 1 accrual after verified payment, found 0
  MIGRATED  v513_onboarding_next_actor_and_review.sql
    psql:/private/tmp/claude-501/-Users-cs-Downloads-loyalty-main/b2eb2901-2f29-4ab9-8d07-185769b6d407/scratchpad/wt-main-baseline/db/tests/executed/v513_onboarding_next_actor_and_review.sql:326: ERROR:  FAIL a 48h-old Peekaa turn did not become a stall work item: {"as_of": "2026-09-02T18:39:05.970886+00:00", "nudged": 1, "stalled": 1}

3 failure(s) in 18.3s
EXIT 1
